Date,Open,High,Low,Close,Volume,Adj Close,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2017-04-24,851.2,863.45,849.86,862.76,1371831.0,862.76,862.76,835.7286036354928,825.4750248610335,10.253578774459356,0,20,-834.8999999999974
2017-04-25,865.0,875.0,862.81,872.3,1671671.0,872.3,872.3,841.3477365744124,827.4052774691665,13.942459105245803,-1,10,-972.7999999999981
2017-04-26,874.23,876.05,867.74,871.73,1235967.0,871.73,871.73,846.7116250835867,829.504770664705,17.206854418881676,-1,0,-649.7999999999975
2017-04-27,873.6,875.4,870.38,874.25,2014677.0,874.25,874.25,852.2306088682344,831.9106640414799,20.319944826754522,1,10,-649.7999999999975
2017-04-28,910.66,916.85,905.77,905.96,3273658.0,905.96,905.96,866.4446656118303,837.1664312684903,29.278234343339932,1,20,-332.6999999999948
2017-05-01,901.94,915.68,901.45,912.57,2115701.0,912.57,912.57,881.1237395551874,843.6045630180006,37.51917653718681,-1,10,-425.149999999996
2017-05-02,909.62,920.77,909.45,916.44,1545245.0,916.44,916.44,894.0224594953686,850.7416906136765,43.2807688816921,-1,0,-161.79999999999382
2017-05-03,914.86,928.1,912.54,927.04,1498051.0,927.04,927.04,907.6454086127853,859.1876727521254,48.45773586065991,1,10,-161.79999999999382
2017-05-04,926.07,935.93,924.59,931.66,1421984.0,931.66,931.66,918.4960482120283,867.9730653426396,50.52298286938867,0,10,-115.59999999999377
2017-05-05,933.54,934.9,925.2,927.13,1910427.0,927.13,927.13,922.5877202764692,875.4945866516165,47.093133624852726,-1,0,-160.89999999999418
2017-05-08,926.12,936.92,925.26,934.3,1329096.0,934.3,934.3,928.3485828404223,883.2547741359824,45.09380870443988,1,10,-160.89999999999418
2017-05-09,936.95,937.5,929.53,932.17,1581337.0,932.17,932.17,930.2544326752433,889.7998867157087,40.454545959534585,0,10,-182.19999999999413
2017-05-10,931.98,932.0,925.16,928.78,1173902.0,928.78,928.78,929.5269172125855,894.9601184688524,34.5667987437331,0,10,-216.099999999994
2017-05-11,925.32,932.53,923.03,930.6,835028.0,930.6,930.6,930.0438589645961,899.5664316474647,30.4774273171314,0,10,-197.8999999999935
2017-05-12,931.53,933.44,927.85,932.22,1050377.0,932.22,932.22,931.0470726504078,903.6051715535634,27.44190109684439,0,10,-181.69999999999345
2017-05-15,932.95,938.25,929.34,937.08,1104646.0,937.08,937.08,933.748178922283,907.6262335060612,26.12194541622182,0,10,-133.09999999999332
2017-05-16,940.0,943.11,937.58,943.0,968288.0,943.0,943.0,937.7161516287304,911.6965819053822,26.019569723348127,0,10,-73.89999999999372
2017-05-17,935.67,939.33,918.14,919.62,2357984.0,919.62,919.62,930.6489513518144,912.5267816084688,18.12216974334558,-1,0,-307.69999999999345
2017-05-18,921.0,933.17,918.75,930.24,1596111.0,930.24,930.24,930.5061453431781,914.1862964413385,16.319848901839578,1,10,-307.69999999999345
2017-05-19,931.47,937.75,931.0,934.01,1392849.0,934.01,934.01,931.5464515275438,915.7653931214276,15.781058406116244,0,10,-269.99999999999363
